id,rank,role,business_unit,location,education,age,isolate,degree,weighted_degree,constraint,log_constraint,betweenness,clustering,mean_path_len,core89,salary_resid,evaluation,promoted_or_aboveavg,responded,idea_expressed,idea_discussed,idea_value,idea_dismissed,idea_length,seq_order
E0001,Exec,Purchasing,HQ,Urban2,Bachelor,40,False,2,1.8599999999999999,50.28326974216674,3.9176724122792184,0.0,0.0,,False,-2.358892971595143,Good,False,True,False,False,,,,
E0002,Exec,Internal,BU_A,Other,Graduate,40,False,7,6.08,16.556756960801764,2.8067942940784225,0.0075388757613613884,0.09523809523809523,4.714285714285714,False,-1.0084455845137887,Good,True,True,False,False,,,,
E0003,Exec,Internal,HQ,Urban1,Bachelor,53,False,1,1.0,100.0,4.605170185988092,0.0,0.0,,False,-0.4942992628145625,Good,False,True,True,False,1.0,False,126.0,187.0
E0004,Exec,Internal,BU_A,Other,Less,45,False,7,5.37,16.51185334942285,2.804078507805185,0.0061973852151829475,0.047619047619047616,5.553113553113553,False,-1.1613686520834683,Poor,False,True,True,True,1.7630257592616256,False,223.0,177.0
E0005,Exec,Internal,HQ,Urban1,Bachelor,52,False,1,0.5,100.0,4.605170185988092,0.0,0.0,,False,-2.3465345682850747,Good,False,False,False,False,,,,
E0006,Exec,Internal,HQ,Other,Less,55,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.1821713935174916,Good,False,False,False,False,,,,
E0007,Exec,Internal,BU_A,Other,Less,42,False,5,4.51,20.462534599141602,3.018595633551858,0.0030212883682991403,0.0,4.8901098901098905,False,-1.3613261474573288,Outstanding,False,True,True,True,1.3455354757561464,True,88.0,79.0
E0008,Exec,Internal,HQ,Urban2,Bachelor,42,False,1,0.65,100.0,4.605170185988092,0.0,0.0,,False,-0.2977640884374344,Good,False,True,False,False,,,,
E0009,Exec,Internal,BU_D,Urban2,Graduate,60,False,2,1.65,52.249770431588615,3.9560354971814617,0.0001273168552580317,0.0,6.391941391941392,False,-0.4345922133651624,Poor,False,False,False,False,,,,
E0010,Exec,Purchasing,HQ,Urban1,Less,52,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-2.2711774122086,Good,False,True,False,False,,,,
E0011,Exec,Purchasing,HQ,Urban2,Bachelor,47,False,1,1.0,100.0,4.605170185988092,0.0,0.0,5.556776556776557,False,-1.5032773704496527,Good,False,False,False,False,,,,
E0012,Exec,Internal,HQ,Urban2,Bachelor,44,False,1,1.0,100.0,4.605170185988092,0.0,0.0,,False,-1.9102409962932303,Poor,False,True,True,False,1.9552742340746698,True,102.0,167.0
E0013,Exec,Purchasing,HQ,Other,Bachelor,47,False,1,0.5,100.0,4.605170185988092,0.0,0.0,,False,-2.1939042660532104,Poor,False,False,False,False,,,,
