ID,Days_active,Mature_content,Views,Affiliate,Channel_ID
2299,1459,FALSE,9528,FALSE,73045350
153,1629,TRUE,3615,FALSE,61573865
397,411,TRUE,46546,FALSE,171688860
5623,953,TRUE,5863,FALSE,117338954
5875,741,TRUE,5594,FALSE,135804217
3346,1820,FALSE,4594,FALSE,50273956
6930,2070,FALSE,18460,FALSE,40189534
6367,846,TRUE,204,FALSE,126853728
1434,936,TRUE,1064,FALSE,118869338
4470,973,FALSE,313084,FALSE,115599547
5122,1198,FALSE,791,FALSE,94973589
4790,993,TRUE,364,FALSE,113241013
4919,931,TRUE,3994,FALSE,119663818
575,1354,FALSE,3956,FALSE,81085785
639,1720,FALSE,2833,FALSE,55592461
7012,1573,TRUE,16054,FALSE,64700169
6445,2219,FALSE,3950,FALSE,36174401
1170,2142,TRUE,89458,TRUE,38079222
326,3039,TRUE,115054,FALSE,13233251
4956,1664,FALSE,657,FALSE,59321650
2639,1591,TRUE,29158,FALSE,63652371
5028,368,TRUE,25085,FALSE,177106387
6277,1069,TRUE,8917,FALSE,106526921
6784,2035,TRUE,3011,FALSE,41418023
49,535,TRUE,8482,FALSE,154501248
4526,1450,FALSE,95722,FALSE,73421195
4108,1718,FALSE,3930,FALSE,55682420
1171,2441,FALSE,9733,FALSE,27953914
2568,1784,FALSE,4828,FALSE,51992513
5731,1179,TRUE,10775,FALSE,96302101
1760,702,TRUE,21793,FALSE,139120746
6707,2495,TRUE,574,FALSE,26770546
2019,1938,FALSE,11980,FALSE,44946167
634,1895,TRUE,770,FALSE,46597630
4670,2492,TRUE,1568,FALSE,25651842
2399,1790,TRUE,31841,FALSE,51730005
5737,1638,FALSE,261,FALSE,60961830
6974,1500,FALSE,18318,FALSE,70524636
6919,2158,FALSE,1607,FALSE,37699144
240,725,TRUE,1725,FALSE,137265740
5646,1814,FALSE,1639,FALSE,50590583
158,1910,TRUE,3315,FALSE,46373336
3298,289,TRUE,2733,FALSE,187385098
2354,2106,FALSE,1294,FALSE,38904740
1161,673,FALSE,14678,FALSE,141462246
1869,1921,TRUE,488224,TRUE,45846901
3499,853,TRUE,8138,FALSE,126378005
5655,1138,FALSE,3403,FALSE,101102471
5295,924,TRUE,758,FALSE,119664707
6468,2385,TRUE,859,FALSE,28588067
3872,2063,FALSE,3221,FALSE,40297287
5676,1931,FALSE,212170,TRUE,45396907
72,547,FALSE,2264,FALSE,153231390
544,2313,FALSE,1224,FALSE,30934283
4228,804,TRUE,5573,FALSE,130705044
2430,1959,TRUE,3420,FALSE,44193440
2677,1405,FALSE,106623,FALSE,76748966
576,2447,TRUE,798,FALSE,27788634
5986,2315,FALSE,8926,FALSE,30796517
3707,498,FALSE,759,FALSE,158523868
809,1712,TRUE,2759,FALSE,55576507
593,1899,FALSE,1458,FALSE,46839359
2456,224,TRUE,1178,FALSE,198743760
6911,993,FALSE,1572,FALSE,113655358
3362,2139,TRUE,10500,FALSE,38182598
7101,310,TRUE,1975,FALSE,183599062
7060,1168,TRUE,6442,FALSE,97910651
6080,2406,FALSE,6599,FALSE,28230732
5771,489,TRUE,9063,FALSE,159806569
5914,806,FALSE,21768,FALSE,130741145
6794,1431,TRUE,16987,FALSE,74956100
3361,1892,TRUE,447,FALSE,45653700
3260,2469,TRUE,899,FALSE,27204176
936,1754,TRUE,7496,FALSE,53706043
3837,466,FALSE,4223,FALSE,162259716
2233,2439,TRUE,1345,FALSE,26065098
